Temperature_mean,Humidity_mean,WindSpeed_mean,GeneralDiffuseFlows_mean,DiffuseFlows_mean,PowerConsumption_Zone1_sum,PowerConsumption_Zone2_sum,PowerConsumption_Zone3_sum,IsWeekend_first,TimeOfDay_Afternoon_first,TimeOfDay_Evening_first,TimeOfDay_Morning_first,TimeOfDay_Night_first,Season_Autumn_first,Season_Spring_first,Season_Summer_first,Season_Winter_first
0.07373271889400923,0.7711340206185567,0.0,0.0,0.0,0.3963347994135679,0.3388206417914057,0.29162340348300286,1,0,0,0,1,0,0,0,1
0.05529953917050692,0.8041237113402063,0.0,0.0,0.0,0.27529876938113645,0.2681486228326845,0.2356809414068765,1,0,0,0,1,0,0,0,1
0.041474654377880185,0.8185567010309278,0.0,0.0,0.0,0.20668621440312757,0.20474935313036546,0.20106195287900658,1,0,0,0,1,0,0,0,1
0.04608294930875578,0.7958762886597939,0.0,0.0,0.0,0.17277533431072017,0.1644439339346601,0.18100049805421192,1,0,0,0,1,0,0,0,1
0.04608294930875578,0.7608247422680413,0.0,0.0,0.0,0.16384557288195828,0.15364060648562378,0.16664978347304177,1,0,0,0,1,0,0,0,1
0.032258064516129045,0.7731958762886599,0.0,0.0,0.0,0.17266426762628279,0.15901506541242477,0.16861667553034332,1,0,0,0,1,0,0,0,1
0.02764976958525346,0.7814432989690722,0.0,0.0,0.0,0.19510418055000217,0.1781128334099098,0.1716218839955766,1,0,0,1,0,0,0,0,1
0.02764976958525346,0.754639175257732,0.0,0.0,0.0,0.11225731929450439,0.10025270234323991,0.09663517951055622,1,0,0,1,0,0,0,0,1
0.02764976958525346,0.754639175257732,0.0,0.01381118881118881,0.006968641114982578,0.1406281931671775,0.11072957221966967,0.08745916377541973,1,0,0,1,0,0,0,0,1
0.02764976958525346,0.7587628865979382,0.0,0.1513986013986014,0.02884243128145567,0.2286063352436803,0.18602640679031757,0.13395547901841115,1,0,0,1,0,0,0,0,1
0.06912442396313365,0.7051546391752579,0.6206896551724139,0.306993006993007,0.036585365853658534,0.3293615886978542,0.273746765651827,0.17891964443994224,1,0,0,1,0,0,0,0,1
0.1797235023041475,0.5628865979381443,0.34482758620689663,0.42762237762237765,0.0416182733255904,0.3987427251321693,0.32958310158876025,0.20928406817433587,1,0,0,1,0,0,0,0,1
