meantemp_sum,humidity_sum,wind_speed_sum,meanpressure_sum,Season_Autumn_first,Season_Spring_first,Season_Summer_first,Season_Winter_first
0.125,0.8160919540229885,0.0,0.13251757354855506,0,0,0,1
0.03125,0.9080459770114944,0.047619047619047616,0.1327779224160375,0,0,0,1
0.03125,0.8505747126436782,0.09523809523809523,0.13290809684977872,0,0,0,1
0.0625,0.6666666666666667,0.023809523809523808,0.1327779224160375,0,0,0,1
0.0,0.8390804597701149,0.07142857142857142,0.13264774798229628,0,0,0,1
0.03125,0.7931034482758621,0.023809523809523808,0.13290809684977872,0,0,0,1
0.03125,0.7471264367816093,0.14285714285714285,0.13316844571726114,0,0,0,1
0.0625,0.5747126436781609,0.16666666666666666,0.13290809684977872,0,0,0,1
0.25,0.43678160919540227,0.2857142857142857,0.1327779224160375,0,0,0,1
0.15625,0.5632183908045978,0.16666666666666666,0.13251757354855506,0,0,0,1
0.28125,0.43678160919540227,0.23809523809523808,0.13264774798229628,0,0,0,1
0.25,0.7011494252873562,0.30952380952380953,0.13251757354855506,0,0,0,1
0.28125,0.7126436781609196,0.09523809523809523,0.13225722468107265,0,0,0,1
0.1875,0.8620689655172415,0.0,0.13251757354855506,0,0,0,1
0.25,0.6666666666666667,0.0,0.13251757354855506,0,0,0,1
0.21875,0.8390804597701149,0.0,0.13264774798229628,0,0,0,1
0.3125,0.7701149425287357,0.11904761904761904,0.13251757354855506,0,0,0,1
0.21875,0.9080459770114944,0.19047619047619047,0.13238739911481387,0,0,0,1
0.1875,0.7241379310344829,0.11904761904761904,0.13329862015100236,0,0,0,1
0.15625,0.7126436781609196,0.19047619047619047,0.13316844571726114,0,0,0,1
0.15625,0.735632183908046,0.047619047619047616,0.13329862015100236,0,0,0,1
0.09375,0.7586206896551724,0.07142857142857142,0.13329862015100236,0,0,0,1
0.25,0.5402298850574714,0.09523809523809523,0.13316844571726114,0,0,0,1
0.21875,0.5402298850574714,0.14285714285714285,0.13316844571726114,0,0,0,1
0.1875,0.6206896551724137,0.11904761904761904,0.13316844571726114,0,0,0,1
0.1875,0.5862068965517242,0.14285714285714285,0.13303827128351992,0,0,0,1
0.1875,0.5977011494252873,0.11904761904761904,0.13290809684977872,0,0,0,1
0.25,0.4942528735632184,0.07142857142857142,0.1327779224160375,0,0,0,1
0.25,0.5977011494252873,0.07142857142857142,0.13264774798229628,0,0,0,1
0.25,0.6551724137931034,0.023809523809523808,0.1327779224160375,0,0,0,1
0.3125,0.5977011494252873,0.047619047619047616,0.13290809684977872,0,0,0,1
0.3125,0.6896551724137931,0.047619047619047616,0.13264774798229628,0,0,0,1
0.3125,0.735632183908046,0.023809523809523808,0.1327779224160375,0,0,0,1
0.375,0.5977011494252873,0.023809523809523808,0.13251757354855506,0,0,0,1
0.34375,0.7011494252873562,0.26190476190476186,0.13238739911481387,0,0,0,1
0.3125,0.9080459770114944,0.21428571428571427,0.13264774798229628,0,0,0,1
0.3125,0.6666666666666667,0.19047619047619047,0.13290809684977872,0,0,0,1
0.28125,0.5287356321839081,0.23809523809523808,0.13290809684977872,0,0,0,1
0.25,0.6551724137931034,0.21428571428571427,0.1327779224160375,0,0,0,1
0.28125,0.5517241379310345,0.21428571428571427,0.13264774798229628,0,0,0,1
0.28125,0.6666666666666667,0.07142857142857142,0.1327779224160375,0,0,0,1
0.28125,0.6551724137931034,0.11904761904761904,0.13264774798229628,0,0,0,1
0.28125,0.6551724137931034,0.16666666666666666,0.1327779224160375,0,0,0,1
0.3125,0.6551724137931034,0.14285714285714285,0.13264774798229628,0,0,0,1
0.34375,0.5747126436781609,0.09523809523809523,0.13238739911481387,0,0,0,1
